,Year,Month,Country,Area,Type,Activity,Sex,Age,Fatal,Injury,Species,Size (min),Size (max)
1991,2000,Nov,USA,Florida,Invalid,Walking,F,27.0,,Minor,,,
1992,2000,Nov,AUSTRALIA,Western Australia,Unprovoked,Swimming,M,52.0,N,Moderate,,490.0,490.0
1993,2000,Nov,AUSTRALIA,Western Australia,Unprovoked,Swimming,M,49.0,Y,Fatal,,500.0,500.0
1994,2000,Nov,USA,California,Unprovoked,Surfing,M,27.0,N,Minor,,244.0,305.0
1995,2000,Oct,AUSTRALIA,Queensland,Boating,Fishing ,,31.0,N,Minor,White,,
1996,2000,Oct,USA,Florida,Unprovoked,Surfing,M,23.0,N,Moderate,,,
1997,2000,Oct,USA,Hawaii,Unprovoked,Swimming / snorkeling,F,56.0,N,Moderate,,183.0,244.0
1998,2000,Oct,USA,Florida,Unprovoked,Swimming,M,69.0,N,Moderate,,,
1999,2000,Oct,USA,Florida,Unprovoked,Surfing,M,17.0,N,Moderate,,213.0,244.0
2000,2000,Oct,USA,Florida,Unprovoked,Surfing,M,23.0,N,Moderate,,61.0,61.0
2001,2000,Oct,USA,Florida,Unprovoked,Body surfing,M,11.0,N,Moderate,,,
2002,2000,Oct,USA,North Carolina,Unprovoked,Surfing,M,24.0,N,Moderate,,,
2003,2000,Sep,USA,California,Unprovoked,Sitting on surfboard,M,,N,Minor,,430.0,430.0
2004,2000,Sep,AUSTRALIA,South Australia,Unprovoked,Surfing,M,17.0,Y,Fatal,White,,
2005,2000,Sep,AUSTRALIA,South Australia,Unprovoked,Surfing,M,25.0,Y,Fatal,,396.0,503.0
2006,2000,Sep,AUSTRALIA,New South Wales,Provoked,Fell onto dead shark,M,12.0,N,Moderate,,,
2007,2000,Sep,OKINAWA,Miyako Island,Unprovoked,Surfing,M,31.0,Y,Fatal,,250.0,250.0
2008,2000,Sep,USA,South Carolina,Unprovoked,,,,N,Fatal,,,
2009,2000,Sep,USA,Florida,Unprovoked,Standing / surfing,M,49.0,N,Moderate,,,
2010,2000,Sep,USA,Florida,Unprovoked,Surfing,F,26.0,N,Moderate,,,
2011,2000,Sep,USA,Florida,Unprovoked,Swimming / Body surfing,M,25.0,N,Moderate,,61.0,91.0
2012,2000,Sep,USA,Florida,Unprovoked,Swimming,M,8.0,N,Minor,,,
2013,2000,Sep,SOUTH AFRICA,Western Cape Province,Unprovoked,Free diving,M,48.0,N,Minor,,350.0,350.0
2014,2000,Sep,TANZANIA,,Unprovoked,Swimming,M,28.0,Y,Fatal,Zambesi,,
2015,2000,Sep,USA,Florida,Unprovoked,Wading,M,40.0,N,Moderate,,150.0,150.0
2016,2000,Sep,REUNION,Saint-Pierre,Unprovoked,Surfing,M,27.0,N,Minor,,300.0,300.0
2017,2000,Sep,TANZANIA,,Unprovoked,Swimming,,,Y,Fatal,Zambesi,,
2018,2000,Aug,USA,Florida,Unprovoked,Swimming,M,47.0,N,Moderate,,61.0,61.0
2019,2000,Aug,USA,Florida,Unprovoked,Jumped into the water,M,69.0,Y,Fatal,,270.0,270.0
2020,2000,Aug,USA,Alaska,Provoked,Conducting research,M,,N,Minor,Salmon,,
2021,2000,Aug,USA,North Carolina,Unprovoked,Swimming out to porpoises ,M,,N,Major,,,
2022,2000,Aug,USA,Hawaii,Unprovoked,"Windsurfing, but sitting on his board",M,53.0,N,Moderate,,366.0,427.0
2023,2000,Aug,USA,Florida,Unprovoked,Surfing / Wading,M,27.0,N,Moderate,,,
2024,2000,Aug,USA,Florida,Unprovoked,Standing,F,44.0,N,Major,,244.0,305.0
2025,2000,Aug,USA,North Carolina,Invalid,Swimming ,M,,,Fatal,,,
2026,2000,Aug,USA,Florida,Invalid,Attempting to illegally enter the USA,M,,,,,,
2027,2000,Aug,TANZANIA,,Unprovoked,Swimming,,,Y,Fatal,Zambesi,,
2028,2000,Jul,USA,Florida,Unprovoked,,M,5.0,N,Moderate,,,
2029,2000,Jul,USA,Florida,Unprovoked,Snorkeling,F,45.0,N,Minor,,150.0,150.0
2030,2000,Jul,USA,North Carolina,Unprovoked,Surfing,M,16.0,N,Moderate,,,
2031,2000,Jul,USA,North Carolina,Unprovoked,Surfing,M,14.0,N,Moderate,,180.0,180.0
2032,2000,Jul,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,15.0,N,Moderate,,,
2033,2000,Jul,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,18.0,N,Minor,,,
2034,2000,Jul,SOUTH AFRICA,KwaZulu-Natal,Unprovoked,Surfing,M,,N,Minor,,,
2035,2000,Jul, TONGA,Minerva Reef,Unprovoked,Scuba diving,M,69.0,N,Minor,,200.0,200.0
2036,2000,Jul,USA,Florida,Unprovoked,Wading,M,13.0,N,Moderate,,,
2037,2000,Jul,USA,Florida,Unprovoked,Swimming ,M,41.0,N,Moderate,,,
2038,2000,Jul,USA,Texas,Unprovoked,Jumping,M,5.0,N,Moderate,,213.0,244.0
2039,2000,Jul,USA,North Carolina,Unprovoked,Playing,F,12.0,N,Moderate,,91.0,152.0
2040,2000,Jul,USA,Florida,Unprovoked,Wading,F,20.0,N,,,,
2041,2000,Jul,USA,Florida,Unprovoked,"Spearfishing, holding mesh bag with speared fish",F,55.0,N,Moderate,,120.0,120.0
2042,2000,Jul,USA,Florida,Unprovoked,Wading,F,13.0,N,Moderate,,90.0,90.0
2043,2000,Jul,USA,Florida,Unprovoked,Standing,F,19.0,N,Moderate,,90.0,90.0
2044,2000,Jul,TANZANIA,,Unprovoked,Swimming,,,Y,Fatal,Zambesi,,
2045,2000,Jun,PAPUA NEW GUINEA,Madang Province,Unprovoked,,M,,Y,Fatal,,,
2046,2000,Jun,NEW ZEALAND,North Island,Boating,Fishing,M,,N,Minor,,200.0,200.0
2047,2000,Jun,USA,Florida,Unprovoked,Standing,M,52.0,N,Moderate,,,
2048,2000,Jun,USA,Florida,Boating,Sailing,,,N,Minor,,240.0,240.0
2049,2000,Jun,USA,Texas,Unprovoked,Surfing,M,17.0,N,Moderate,,122.0,183.0
2050,2000,Jun,USA,Alabama,Unprovoked,Swimming,M,55.0,N,Moderate,,,
2051,2000,Jun,USA,Alabama,Unprovoked,Swimming ,M,44.0,N,Major,Bull,,
2052,2000,Jun,USA,Florida,Unprovoked,Snorkeling,M,13.0,N,Moderate,,,
2053,2000,Jun,TANZANIA,,Unprovoked,Swimming,M,,Y,Fatal,Zambesi,,
2054,2000,May,NEW CALEDONIA,South Province,Sea Disaster,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",,,Y,Fatal,,,
2055,2000,May,AUSTRALIA,Victoria,Invalid,,,,,,,,
2056,2000,May,PAPUA NEW GUINEA,Madang Province,Unprovoked,Standing,M,9.0,N,Minor,,,
2057,2000,May,PAPUA NEW GUINEA,Madang Province,Unprovoked,Diving,M,,Y,Fatal,,,
2058,2000,Apr,USA,Florida,Unprovoked,Walking,M,34.0,N,Moderate,,,
2059,2000,Apr,USA,Florida,Unprovoked,Boogie boarding / wading,M,,N,Minor,,,
2060,2000,Mar,USA,Florida,Unprovoked,Fishing,M,,N,Minor,,,
2061,2000,Mar,AUSTRALIA,Queensland,Unprovoked,Swimming,M,26.0,N,Minor,,250.0,250.0
2062,2000,Mar,USA,Florida,Unprovoked,Boogie boarding,F,14.0,N,Moderate,,180.0,180.0
2063,2000,Mar,USA,Florida,Unprovoked,Surfing,M,37.0,N,Minor,,120.0,120.0
2064,2000,Mar,NEW CALEDONIA,North Province,Unprovoked,Spearfishing,M,35.0,Y,Fatal,,,
2065,2000,Mar,AUSTRALIA,New South Wales,Unprovoked,Surfing,M,,N,Minor,,400.0,400.0
2066,2000,Mar,AUSTRALIA,New South Wales,Boating,Rowing,,,N,Minor,,200.0,250.0
2067,2000,Mar,AUSTRALIA,New South Wales,Boating,Rowing,,,N,Minor,,,
2068,2000,Mar,NEW ZEALAND,North Island,Invalid,Kayaking,M,27.0,,,,,
2069,2000,Mar,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,,N,,,,
2070,2000,Mar,USA,Louisiana,Unprovoked,Spearfishing,M,39.0,N,Minor,,305.0,335.0
2071,2000,Feb,USA,Florida,Unprovoked,,M,27.0,N,Minor,,,
2072,2000,Feb,SOUTH AFRICA,Western Cape Province,Unprovoked,Body surfing,M,,N,Minor,,250.0,250.0
2073,2000,Feb,ENGLAND,Worcestershire,Provoked,Feeding prawns to captive sharks,M,,N,Minor,,60.0,60.0
2074,2000,Feb,NEW ZEALAND,South Island,Unprovoked,Surfing,M,12.0,N,Minor,,,
2075,2000,Feb,AUSTRALIA,South Australia,Unprovoked,Surfing,M,26.0,N,Minor,,300.0,300.0
2076,2000,Jan,REUNION,,Boating,Canoe with 3 men onboard sank,M,,Y,Fatal,,,
2077,2000,Jan,THAILAND,Phang nga Province,Unprovoked,Diving,M,35.0,Y,Fatal,,,
2078,2000,,USA,Florida,Boating,Fishing for tarpon,M,,N,Minor,Hammerhead,,
2079,1999,Dec,NEW ZEALAND,South Island,Unprovoked,Surfing,M,15.0,N,Moderate,Sevengill,,
2080,1999,Dec,NEW ZEALAND,South Island,Unprovoked,Swimming,F,13.0,N,Minor,Sevengill,,
2081,1999,Dec,NEW ZEALAND,South Island,Unprovoked,Bathing,F,12.0,N,Minor,Sevengill,,
2082,1999,Dec,BRAZIL,Pernambuco,Unprovoked,Surfing,M,18.0,N,Major,,,
2083,1999,Dec,USA,California,Invalid,Scuba diving,M,,,,,,
2084,1999,Dec,BRAZIL,Rio de Janeiro,Invalid,Spearfishing,M,39.0,N,Minor,,,
2085,1999,Dec,USA,Florida,Unprovoked,Surfing,M,35.0,N,Moderate,,,
2086,1999,Nov,USA,Florida,Unprovoked,Surfing,M,19.0,N,Moderate,,,
2087,1999,Nov,USA,Hawaii,Unprovoked,Swimming,F,51.0,N,Moderate,,183.0,244.0
2088,1999,Nov,USA,California,Unprovoked,Surfing (sitting on his board),M,,N,Minor,White,,
2089,1999,Nov,SOUTH AFRICA,KwaZulu-Natal,Unprovoked,Surfing,M,35.0,N,Moderate,,300.0,300.0
2090,1999,Nov,BRAZIL,Rio de Janeiro,Unprovoked,"Spearfishing, but swimming at surface",M,39.0,N,Minor,,130.0,160.0
2091,1999,Nov,MARSHALL ISLANDS,Alinglaplap Atoll,Unprovoked,Swimming,M,12.0,N,Moderate,,120.0,120.0
2092,1999,Nov,MARSHALL ISLANDS,Alinglaplap Atoll,Unprovoked,Swimming,M,12.0,N,Moderate,,120.0,120.0
2093,1999,Oct,USA,Florida,Unprovoked,Body boarding,M,45.0,N,Moderate,,,
2094,1999,Oct,USA,Florida,Unprovoked,Body surfing,M,13.0,N,Minor,,,
2095,1999,Oct,USA,Florida,Unprovoked,Surfing,M,,N,Moderate,,270.0,270.0
2096,1999,Oct,USA,Hawaii,Unprovoked,"Surfing, lying on surfboard",M,16.0,N,Minor,,183.0,244.0
2097,1999,Sep,USA,Florida,Unprovoked,Wading to shore after surfing,M,22.0,N,Moderate,,,
2098,1999,Sep,ITALY,Adriatic Sea,Boating,Fishing,,,N,Minor,,700.0,700.0
2099,1999,Sep,USA,California,Unprovoked,Kayaking,M,37.0,N,Minor,White,,
2100,1999,Sep,USA,Florida,Unprovoked,Wading,F,61.0,N,Minor,,,
2101,1999,Sep,USA,South Carolina,Unprovoked,Wading,F,10.0,N,Moderate,,,
2102,1999,Sep,USA,Florida,Unprovoked,Surfing,M,13.0,N,Minor,,152.0,183.0
2103,1999,Sep,USA,Florida,Provoked,Wading,M,7.0,N,Minor,,90.0,90.0
2104,1999,Sep,USA,Florida,Unprovoked,Wading with surfboard,M,39.0,N,Minor,,,
2105,1999,Aug,USA,Florida,Unprovoked,Surfing,M,28.0,N,Moderate,,,
2106,1999,Aug,USA,North Carolina,Unprovoked,Surfing,M,,N,Moderate,,,
2107,1999,Aug,MARSHALL ISLANDS,Ralik Chain,Unprovoked,Fishing,M,23.0,N,Moderate,,213.0,213.0
2108,1999,Aug,USA,Florida,Unprovoked,Surfing,M,17.0,N,Moderate,,,
2109,1999,Aug,USA,South Carolina,Unprovoked,Lying prone in 2' of water,M,10.0,N,Moderate,,180.0,180.0
2110,1999,Aug,USA,Florida,Unprovoked,Body surfing,M,62.0,N,Moderate,,122.0,152.0
2111,1999,Aug,BAHAMAS,Abaco Islands,Unprovoked,Spearfishing & holding catch,M,35.0,N,Minor,,270.0,270.0
2112,1999,Jul,SOUTH AFRICA,Western Cape Province,Unprovoked,Surfing,M,42.0,N,Minor,,305.0,503.0
2113,1999,Jul,USA,Florida,Unprovoked,Swimming with dolphins,M,43.0,N,Minor,,210.0,210.0
2114,1999,Jul,USA,Hawaii,Unprovoked,Surfing,M,43.0,N,Minor,,183.0,244.0
2115,1999,Jul,SOUTH AFRICA,Western Cape Province,Unprovoked,Boogie boarding,M,14.0,Y,Fatal,White,,
2116,1999,Jul,USA,South Carolina,Unprovoked,,M,,N,Minor,,,
2117,1999,Jul,USA,Florida,Unprovoked,Wading in school of baitfish,F,30.0,N,Moderate,,180.0,180.0
2118,1999,Jul,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,29.0,N,Minor,,400.0,400.0
2119,1999,Jun,USA,Florida,Unprovoked,Adrift in a life jacket,M,20.0,N,Minor,,120.0,120.0
2120,1999,Jun,USA,Florida,Unprovoked,Surfing,M,21.0,N,Moderate,,91.0,122.0
2121,1999,Jun,USA,Florida,Unprovoked,Swimming,M,41.0,N,Minor,,,
2122,1999,Jun,USA,Florida,Unprovoked,Splashing / wading,M,5.0,N,Moderate,,,
2123,1999,May,AUSTRALIA,South Australia,Unprovoked,Windsurfing,M,22.0,Y,Fatal,,,
2124,1999,May,BRAZIL,Pernambuco,Unprovoked,Surfing,M,21.0,N,Minor,,250.0,250.0
2125,1999,Apr,MAURITIUS,Grand Baie,Unprovoked,Swimming,F,41.0,N,Minor,,150.0,150.0
2126,1999,Apr,REUNION,L' Etang Salé-les-Bains,Unprovoked,Swimming after being swept into sea by a large wave,M,52.0,Y,Fatal,,,
2127,1999,Apr,USA,Florida,Unprovoked,Surfing,M,14.0,N,Minor,,,
2128,1999,Mar,NEW ZEALAND,South Island,Unprovoked,Spearfishing & diving for paua,M,,N,Minor,,240.0,240.0
2129,1999,Mar,BRAZIL,Rio Grande de Norte,Provoked,Scientific research (Dr. Sonny Gruber's student),M,,N,Minor,,,
2130,1999,Mar,USA,Hawaii,Unprovoked,"Swimming, towing a kayak",F,29.0,Y,Fatal,,,
2131,1999,Mar,NEW CALEDONIA,Loyalty Islands,Unprovoked,Spearfishing,M,,N,Minor,,,
2132,1999,Mar,NEW ZEALAND,,Provoked,Fishing,M,28.0,N,Minor,,130.0,130.0
2133,1999,Mar,USA,Hawaii,Unprovoked,Body surfing or body boarding,M,18.0,N,Minor,,,
2134,1999,Mar,USA,Hawaii,Unprovoked,Swimming near pod of whales,F,29.0,N,Major,,366.0,457.0
2135,1999,Feb,USA,North Carolina,Boating,Cruising,,,N,Minor,Basking,,
2136,1999,Feb,AUSTRALIA,New South Wales,Unprovoked,Surfing,M,35.0,N,Minor,,,
2137,1999,Feb,USA,Florida,Unprovoked,Surfing,M,25.0,N,Minor,Spinner,,
2138,1999,Jan,MAURITIUS,,Unprovoked,Spearfishing,M,47.0,N,Moderate,Bull,,
2139,1999,Jan,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Paddle Skiing,M,,N,Minor,,400.0,400.0
2140,1999,Jan,NEW ZEALAND,North Island,Boating,Inflatable boat,,,N,Minor,,,
2141,1999,Jan,AUSTRALIA,Northern Territory,Invalid,Fishing,F,37.0,,Minor,,,
2142,1999,Jan,REUNION,Saint-Leu,Unprovoked,Spearfishing,,,Y,Fatal,Bull,,
2143,1999,,SOUTH AFRICA,Western Cape Province,Unprovoked,Spearfishing,M,30.0,N,Moderate,,460.0,460.0
2144,1999,,USA,Virginia,Invalid,Body surfing,M,,,Minor,,,
2145,1998,Dec,USA,Florida,Provoked,Surfing,M,19.0,N,Minor,,,
2146,1998,Dec,AUSTRALIA,South Australia,Unprovoked,Standing,F,21.0,N,Moderate,,,
2147,1998,Dec,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,18.0,N,Minor,,,
2148,1998,Dec,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Splashing,M,14.0,N,Minor,,,
2149,1998,Dec,AUSTRALIA,South Australia,Unprovoked,Surfing,F,21.0,N,Moderate,,,
2150,1998,Nov,USA,Florida,Unprovoked,Swimming,M,9.0,Y,Fatal,Tiger,,
2151,1998,Nov,USA,Florida,Unprovoked,Surfing,M,14.0,N,Minor,,120.0,120.0
2152,1998,Nov,USA,Florida,Unprovoked,Walking,M,13.0,N,,,,
2153,1998,Nov,USA,Oregon,Unprovoked,Surfing,M,32.0,N,Minor,,503.0,610.0
2154,1998,Nov,JAPAN,Southern Japan,Provoked,Fishing for tuna,M,52.0,N,Minor,,183.0,183.0
2155,1998,Nov,BRAZIL,Pernambuco,Unprovoked,Surfing,M,22.0,Y,Fatal,,,
2156,1998,Oct,USA,Florida,Unprovoked,Swimming,F,17.0,N,Moderate,,,
2157,1998,Oct,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,30.0,N,Minor,,,
2158,1998,Oct,USA,Florida,Unprovoked,Surfing,M,,N,Minor,,,
2159,1998,Oct,BRAZIL,Pernambuco,Unprovoked,Surfing,M,17.0,N,Minor,,,
2160,1998,Oct,REUNION,Saint-Benoît,Unprovoked,Diving,,,N,,,,
2161,1998,Oct,USA,Florida,Unprovoked,,M,28.0,N,Moderate,,,
2162,1998,Sep,USA,Florida,Unprovoked,Surfing,M,6.0,N,Moderate,,,
2163,1998,Sep,USA,Florida,Unprovoked,Surfing,M,18.0,N,Moderate,,,
2164,1998,Sep,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Fishing / washing bait off hands,M,,N,Moderate,,,
2165,1998,Sep,USA,Florida,Unprovoked,Surfing,M,28.0,N,Minor,,180.0,180.0
2166,1998,Sep,SENEGAL,Cap Vert Peninsula,Provoked,Spearfishing,M,25.0,N,Minor,,150.0,150.0
2167,1998,Aug,USA,Florida,Unprovoked,Surfing,M,26.0,N,Moderate,,91.0,122.0
2168,1998,Aug,ITALY,Marches region,Invalid,Fishing,,,,Minor,,,
2169,1998,Aug,USA,California,Unprovoked,Boogie boarding,M,16.0,N,Moderate,,503.0,610.0
2170,1998,Aug,USA,Virginia,Unprovoked,Spearfishing,M,,N,Moderate,,366.0,366.0
2171,1998,Aug,BAHAMAS,Berry Islands,Unprovoked,Spearfishing,M,28.0,N,Minor,,122.0,152.0
2172,1998,Aug,USA,Florida,Unprovoked,Body-boarding,M,11.0,N,Moderate,,137.0,152.0
2173,1998,Aug,SOUTH AFRICA,Transvaal,Provoked,Moving a shark in a net ,M,,N,Moderate,,200.0,200.0
2174,1998,Aug,SOUTH AFRICA,Western Cape Province,Unprovoked,Surfing (or body boarding),M,19.0,N,Minor,,400.0,400.0
2175,1998,Aug,SOUTH AFRICA,Western Cape Province,Unprovoked,Spearfishing,M,24.0,N,Minor,,490.0,490.0
2176,1998,Jul,BRAZIL,Pernambuco,Unprovoked,Surfing,M,,N,Moderate,,,
2177,1998,Jul,USA,Florida,Unprovoked,Surfing,M,13.0,N,Minor,,,
2178,1998,Jul,SOUTH AFRICA,Western Cape Province,Unprovoked,Wading,M,47.0,N,Minor,,120.0,120.0
2179,1998,Jul,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,16.0,N,Minor,,152.0,183.0
2180,1998,Jul,SOUTH AFRICA,Western Cape Province,Unprovoked,Surfing,M,10.0,N,Minor,,120.0,120.0
2181,1998,Jun,AUSTRALIA,South Australia,Unprovoked,Free diving for abalone,M,26.0,Y,Fatal,,550.0,550.0
2182,1998,Jun,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Body Boarding,M,20.0,Y,Fatal,White,,
2183,1998,Jun,USA,Florida,Unprovoked,Surfing,M,18.0,N,Moderate,,,
2184,1998,Jun,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,,N,,,,
2185,1998,May,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,17.0,N,Moderate,,,
2186,1998,May,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Body boarding,M,15.0,N,Minor,,305.0,396.0
2187,1998,May,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Body boarding,M,16.0,N,Minor,,,
2188,1998,May,USA,Florida,Unprovoked,Surfing,M,40.0,N,Moderate,,150.0,150.0
2189,1998,May,USA,Florida,Unprovoked,Swimming,F,14.0,N,Minor,,180.0,180.0
2190,1998,May,USA,Florida,Unprovoked,Swimming / surfing,M,24.0,N,Moderate,,,
2191,1998,May,SOUTH AFRICA,Western Cape Province,Unprovoked,Body boarding,M,22.0,N,Major,,400.0,400.0
2192,1998,Apr,MOZAMBIQUE,Gaza,Unprovoked,Towing rubber dinghy,F,35.0,Y,Fatal,,300.0,300.0
2193,1998,Apr,USA,Oregon,Unprovoked,Surfing (lying prone on his board),M,50.0,N,Minor,,500.0,500.0
2194,1998,Apr,USA,Florida,Provoked,Scuba diving,M,16.0,N,Minor,,90.0,90.0
2195,1998,Apr,BRAZIL,Pernambuco,Unprovoked,Swimming ,M,,Y,Fatal,,,
2196,1998,Apr,NEW CALEDONIA,,Unprovoked,,,,N,Minor,,,
2197,1998,Mar,USA,Florida,Unprovoked,Swimming,M,40.0,N,Moderate,,,
2198,1998,Mar,SOUTH AFRICA,Western Cape Province,Unprovoked,Snorkeling – hunting crayfish and abalone,M,33.0,N,Moderate,,300.0,300.0
2199,1998,Mar,USA,Florida,Unprovoked,Swimming or paddle boarding,M,32.0,N,Moderate,,152.0,152.0
2200,1998,Feb,USA,Florida,Unprovoked,Swimming,M,,N,Minor,Spinner,,
2201,1998,Jan,AUSTRALIA,New South Wales,Invalid,Spearfishing,M,31.0,,,,,
2202,1998,Jan,NEW CALEDONIA,South Province,Unprovoked,Windsurfing,M,,N,Minor,,170.0,170.0
2203,1998,Jan,REUNION,Grand'Anse,Unprovoked,Bathing,M,,Y,Fatal,,,
2204,1998,Jan,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,21.0,N,Moderate,,,
2205,1998,Jan,AUSTRALIA,South Australia,Unprovoked,Surfing,M,,N,Minor,,,
2206,1998,Jan,MOZAMBIQUE,Maputo Province,Unprovoked,Surfing,M,23.0,N,Minor,,,
2207,1998,,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,28.0,Y,Fatal,,,
2208,1998,,REUNION,Beaufonds,Unprovoked,Diving,,,Y,Fatal,,,
2209,1998,,USA,Virginia,Unprovoked,Spearfishing on scuba & transferring fish onto a stringer,M,,N,,,,
2210,1997,Dec,SOUTH AFRICA,Western Cape Province,Unprovoked,Spearfishing,M,39.0,Y,Fatal,White,,
2211,1997,Dec,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Sitting on surfboard,M,,N,Minor,,,
2212,1997,Dec,USA,Florida,Invalid,,F,29.0,,Minor,,,
2213,1997,Dec,USA,Florida,Unprovoked,Swimming,M,8.0,N,Minor,,,
2214,1997,Nov,AUSTRALIA,Western Australia,Unprovoked,Scuba diving (submerged riding a scooter),M,42.0,N,Moderate,White,,
2215,1997,Nov,USA,Florida,Unprovoked,Swimming,M,32.0,N,Minor,,,
2216,1997,Nov,AUSTRALIA,New South Wales,Invalid,Unknown,M,21.0,,Fatal,,,
2217,1997,Oct,AUSTRALIA,Western Australia,Unprovoked,Surf-skiing,M,51.0,N,Minor,,550.0,550.0
2218,1997,Oct,USA,Hawaii,Unprovoked,Body boarding or surfing,M,19.0,N,Major,,396.0,427.0
2219,1997,Oct,USA,Florida,Unprovoked,Surfing,M,23.0,N,Minor,,,
2220,1997,Oct,USA,Florida,Unprovoked,Surfing,M,12.0,N,Minor,,122.0,152.0
2221,1997,Oct,SOUTH AFRICA,Eastern Cape Province,Boating,Fishingat,,,N,Minor,Soupfin,,
2222,1997,Oct,USA,Florida,Unprovoked,Swimming,F,14.0,N,Moderate,,,
2223,1997,Sep,BRAZIL,Pernambuco,Unprovoked,Swimming,M,20.0,Y,Fatal,,,
2224,1997,Sep,USA,Florida,Unprovoked,Surfing,M,12.0,N,Moderate,,,
2225,1997,Sep,USA,Florida,Unprovoked,Surfing,,17.0,N,Moderate,,,
2226,1997,Sep,USA,Florida,Unprovoked,Surfing,M,20.0,N,Moderate,,,
2227,1997,Aug,USA,Florida,Unprovoked,Surfing,M,18.0,N,Moderate,,,
2228,1997,Aug,USA,Florida,Unprovoked,Walking / surfing,M,22.0,N,Moderate,,,
2229,1997,Aug,USA,California,Unprovoked,Surfing (sitting on his board),M,29.0,N,Minor,,500.0,500.0
2230,1997,Aug,MEXICO,Quintana Roo,Invalid,SCUBA diving,M,28.0,,Fatal,,,
2231,1997,Aug,MEXICO,Quintana Roo,Unprovoked,SCUBA diving,M,33.0,Y,Fatal,,520.0,520.0
2232,1997,Aug,USA,Florida,Unprovoked,Floating on raft,F,12.0,N,Moderate,,,
2233,1997,Aug,EGYPT,Red Sea,Unprovoked,Fishing,M,17.0,N,Moderate,,,
2234,1997,Aug,EGYPT,Red Sea,Unprovoked,Fishing,M,16.0,Y,Fatal,,,
2235,1997,Aug,USA,Florida,Unprovoked,Boogie boarding,M,17.0,N,Moderate,,,
2236,1997,Aug,USA,Florida,Unprovoked,Surfing,M,,N,Moderate,,,
2237,1997,Aug,USA,Texas,Unprovoked,Wading,F,10.0,N,Minor,,100.0,100.0
2238,1997,Aug,USA,Florida,Unprovoked,Wade-fishing,M,,N,Minor,,150.0,150.0
2239,1997,Aug,USA,Florida,Unprovoked,Body surfing,M,17.0,N,Minor,,,
2240,1997,Aug,USA,Florida,Unprovoked,Wading / Surfing,M,19.0,N,Minor,,,
2241,1997,Jul,AUSTRALIA,Queensland,Unprovoked,Surfing,M,19.0,N,Moderate,,,
2242,1997,Jul,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,25.0,Y,Fatal,,450.0,450.0
2243,1997,Jul,BRAZIL,Pernambuco,Unprovoked,Surfing,M,,N,,,,
2244,1997,Jul,USA,South Carolina,Unprovoked,Standing,M,50.0,N,Minor,Blacktip,,
2245,1997,Jul,OKINAWA,Miyako,Unprovoked,Fishing for octopus,M,55.0,Y,Fatal,White,,
2246,1997,Jul,BRAZIL,Pernambuco,Unprovoked,Surfing,,,N,Minor,,,
2247,1997,Jun,USA,Hawaii,Unprovoked,Spearfishing / night diving,M,,N,Minor,,240.0,240.0
2248,1997,Jun,FIJI,Taveuni,Unprovoked,Snorkeling,F,47.0,N,Major,,270.0,270.0
2249,1997,Jun,USA,Florida,Unprovoked,Surfing,M,18.0,N,Moderate,,,
2250,1997,Jun,BRAZIL,Rio de Janeiro,Unprovoked,Bathing,M,,,,,,
2251,1997,Jun,USA,Florida,Unprovoked,"Body surfing, stood up on sandbar",M,33.0,N,Moderate,,120.0,120.0
2252,1997,May,USA,Florida,Unprovoked,Spearfishing,M,35.0,N,Minor,,122.0,122.0
2253,1997,May,USA,Florida,Unprovoked,Surfing,M,34.0,N,Minor,sand,,
2254,1997,May,USA,Florida,Unprovoked,Surfing,M,12.0,N,Minor,sand,,
2255,1997,May,BAHAMAS,Abaco Islands,Unprovoked,Spearfishing,M,54.0,N,Minor,,,
2256,1997,May,BAHAMAS,Abaco Islands,Unprovoked,Spearfishing,M,,N,Minor,,,
2257,1997,Apr,BRAZIL,Rio de Janeiro,Unprovoked,Windsurfing,M,22.0,N,Minor,,370.0,370.0
2258,1997,Feb,AUSTRALIA,Queensland,Unprovoked,Swimming,F,21.0,N,Minor,,,
