,Year,Country,Activity,Age,Species ,Sex,Species
1381,2007,AUSTRALIA,Swimming,45,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
1382,2007,USA,Snorkeling,63,"Tiger shark, 14' ",F,"Tiger shark, 14' "
1383,2007,USA,Swimming,68,6' to 8' shark,M,6' to 8' shark
1385,2007,BAHAMAS,Shark tagging,20,"Lemon shark, >1 m ",F,"Lemon shark, >1 m "
1386,2007,AUSTRALIA,Swimming / jumping off a jetty,13,"""a small shark""",F,"""a small shark"""
1387,2007,USA,Body boarding,12,blacktip or spinner shark,M,blacktip or spinner shark
1388,2007,USA,Surfing,24,3' to 4' shark,M,3' to 4' shark
1390,2007,NEW CALEDONIA,Surfing,26,Tiger shark,M,Tiger shark
1392,2007,USA,Surfing,27,3' shark,M,3' shark
1395,2007,USA,Surfing,11,4' to 5' shark,M,4' to 5' shark
1396,2007,AUSTRALIA,Surfing,42,1.5 m shark,F,1.5 m shark
1398,2007,AUSTRALIA,Swimming,59,2 to 2.5 m shark,F,2 to 2.5 m shark
1400,2007,NEW ZEALAND,Spearfishing,16,Tiger shark,M,Tiger shark
1401,2007,COSTA RICA,Swimming,36,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
1404,2007,NEW CALEDONIA,Spearfishing (free diving),30,Tiger shark,M,Tiger shark
1406,2007,AUSTRALIA,Diving,41,"White shark, 3m",M,"White shark, 3m"
1407,2007,AUSTRALIA,Swimming,20,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
1408,2007,SOUTH AFRICA,Swimming / Body Surfing,24,Tiger shark,M,Tiger shark
1410,2007,USA,Surfing,54,"24"" to 30"" shark",M,"24"" to 30"" shark"
1411,2007,USA,Surfing,24,"6' to 8' shark, possibly a tiger shark",M,"6' to 8' shark, possibly a tiger shark"
1412,2006,AUSTRALIA,Surfing,25,2.5 to 3 m shark,M,2.5 to 3 m shark
1413,2006,NEW ZEALAND,Surfing,10,2 to 3 m shark,M,2 to 3 m shark
1414,2006,USA,Surfing,43,"White shark, 12' to 15' ",M,"White shark, 12' to 15' "
1415,2006,SOUTH AFRICA,Fishing,25,"Raggedtooth shark, 150-kg",M,"Raggedtooth shark, 150-kg"
1416,2006,AUSTRALIA,Body boarding,15,"White shark, 5m ",M,"White shark, 5m "
1418,2006,USA,Swimming,29,2 m to 3 m shark,M,2 m to 3 m shark
1420,2006,USA,Surfing,22,"White shark, 16' ",M,"White shark, 16' "
1424,2006,USA,Playing soccer in the water,18,3' to 3.5' shark,M,3' to 3.5' shark
1427,2006,SOUTH AFRICA,Spearfishing,36,Invalid,M,Invalid
1431,2006,USA,Swimming,55,Spinner shark,M,Spinner shark
1432,2006,USA,Surfing,52,5' shark,M,5' shark
1433,2006,AUSTRALIA,Diving,44,No shark involvement,M,No shark involvement
1435,2006,USA,Standing,33,3' shark,M,3' shark
1437,2006,SOUTH AFRICA,Surfing,37,"White shark, 3.5m ",M,"White shark, 3.5m "
1442,2006,BELIZE,Spearfishing,34,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
1446,2006,SOUTH AFRICA,Lifesaving drill,24,White shark,M,White shark
1450,2006,USA,Surfing,41,White shark?,M,White shark?
1453,2006,SOUTH AFRICA,Surf-skiing,19,"White shark, 3m to 4m",M,"White shark, 3m to 4m"
1454,2006,USA,Surfing,14, ,M, 
1457,2006,USA,Standing,49,"Angel shark, 1.2m ",M,"Angel shark, 1.2m "
1458,2006,SPAIN,Swimming,7,"Shark involvement not confirmed, injury may have been caused by a bluefish",F,"Shark involvement not confirmed, injury may have been caused by a bluefish"
1463,2006,USA,Body boarding,14,5' to 6' spinner or bull shark,F,5' to 6' spinner or bull shark
1465,2006,USA,Spearfishing,28,"1.8 m blacktip ""reef"" shark",F,"1.8 m blacktip ""reef"" shark"
1466,2006,USA,Spearfishing,35,"1.8 m blacktip ""reef"" shark",M,"1.8 m blacktip ""reef"" shark"
1470,2006,USA,Surfing,22,Possibly a 1' to 3' blacktip or spinner shark,F,Possibly a 1' to 3' blacktip or spinner shark
1473,2006,USA,Surfing,24,2' to 3' shark,M,2' to 3' shark
1474,2006,USA,Playing,7,3' to 4' shark,F,3' to 4' shark
1475,2006,AUSTRALIA,Surfing,40,14' white shark,M,14' white shark
1476,2006,USA,Spearfishing,26,"Tiger shark, 8' to 12'",M,"Tiger shark, 8' to 12'"
1479,2006,USA,Spearfishing,15,"Grey reef shark, 5' to 8' ",M,"Grey reef shark, 5' to 8' "
1484,2006,AUSTRALIA,Snorkeling,46,"Wobbegong shark, 2 m ",M,"Wobbegong shark, 2 m "
1488,2006,USA,Fishing,35,"Bull shark, 4' to bull shark",M,"Bull shark, 4' to bull shark"
1489,2006,AUSTRALIA,Surfing,15,"Bronze whaler shark, a  juvenile ",M,"Bronze whaler shark, a  juvenile "
1490,2006,SOUTH AFRICA,Body boarding,15,"Raggedtooth shark, 2.5 m to 3 m ",M,"Raggedtooth shark, 2.5 m to 3 m "
1491,2006,BRAZIL,Swimming,35,Tiger shark,M,Tiger shark
1494,2006,USA,Surfing,28,"Tiger shark, 10'  ",F,"Tiger shark, 10'  "
1495,2006,SOUTH AFRICA,Swimming,17,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
1496,2006,FIJI,Surfing,21,"Tiger shark, 5' ",M,"Tiger shark, 5' "
1497,2006,AUSTRALIA,Surfing,15,"Bronze whaler shark, 2 m",M,"Bronze whaler shark, 2 m"
1498,2006,USA,Standing,15,5' to 7' shark,F,5' to 7' shark
1499,2006,USA,Free diving,45,Invalid,M,Invalid
1503,2006,SOUTH AFRICA,Surfing,15,Raggedtooth shark,M,Raggedtooth shark
1504,2006,TONGA,Swimming,24,Tiger shark,F,Tiger shark
1505,2006,USA,Kayaking,57,12' to 18' shark,M,12' to 18' shark
1510,2006,AUSTRALIA,Scuba diving,52,3.5 m white shark,M,3.5 m white shark
1512,2006,AUSTRALIA,Swimming,21,Bull shark,F,Bull shark
1513,2006,USA,Surfing,21,4' shark,M,4' shark
1514,2006,SOUTH AFRICA,Diving for crayfish,49,Said to involve a 1.5 m shark,M,Said to involve a 1.5 m shark
1515,2005,USA,Surfing,30,White shark,M,White shark
1516,2005,USA,Swimming,29,Tiger shark,M,Tiger shark
1518,2005,AUSTRALIA,Spearfishing,44,Whitetip reef shark,M,Whitetip reef shark
1521,2005,USA,Surfing,23,4' shark,M,4' shark
1523,2005,AUSTRALIA,Surfing,18,1.8 m shark,M,1.8 m shark
1529,2005,SOUTH AFRICA,Fishing for sharks,32,"Raggedtooth shark, 2.5m ",M,"Raggedtooth shark, 2.5m "
1530,2005,USA,Surfing,18,6' shark,M,6' shark
1532,2005,USA,Surfing,26,12' to 14' white shark,M,12' to 14' white shark
1533,2005,USA,Wading,15,2' to 3' shark,M,2' to 3' shark
1534,2005,ST. MAARTIN,Standing,55,2' shark,M,2' shark
1535,2005,SOUTH AFRICA,Standing / Surfing,20,3 m shark,M,3 m shark
1536,2005,USA,Surfing,36,White shark,M,White shark
1537,2005,USA,Surfing,20,18' white shark,F,18' white shark
1539,2005,USA,Surfing,22,"Tiger shark, less than 10'",M,"Tiger shark, less than 10'"
1540,2005,GRAND CAYMAN,Scuba diving,57,Caribbean reef sharks,F,Caribbean reef sharks
1543,2005,SOUTH AFRICA,Surf-skiing,52,White shark,M,White shark
1544,2005,AUSTRALIA,Surfing,28,"Tiger shark, 3 m ",M,"Tiger shark, 3 m "
1545,2005,AUSTRALIA,Surfing,26,14' to 16' white shark,M,14' to 16' white shark
1546,2005,AUSTRALIA,Surfing,44,Bronze whaler shark,M,Bronze whaler shark
1548,2005,USA,Body surfing,68,3' to 4' shark,F,3' to 4' shark
1551,2005,USA,Wading,18,Bull shark,F,Bull shark
1552,2005,AUSTRALIA,Surfing,40,4 m [13'] white shark,M,4 m [13'] white shark
1554,2005,THAILAND,Removing shark from net,21,"2 m [6.75'] shark, 200-kg shark T",M,"2 m [6.75'] shark, 200-kg shark T"
1555,2005,AUSTRALIA,Scuba diving,23,White shark,M,White shark
1556,2005,USA,Surfing,37,juvenile white shark,M,juvenile white shark
1557,2005,USA,"Boogie boarding, kicked at object in the water",17,Shark involvement not confirmed,M,Shark involvement not confirmed
1558,2005,USA,Swimming,8,Possibly a sandbar shark or small blacktip shark,M,Possibly a sandbar shark or small blacktip shark
1561,2005,USA,Surfing,16,1.8 m [6'] shark,M,1.8 m [6'] shark
1566,2005,USA,Surfing,25,Shark involvement not confirmed,M,Shark involvement not confirmed
1568,2005,CHINA,Scuba diving in aquarium tank,24,3.5 m [11.5']shark,M,3.5 m [11.5']shark
1570,2005,USA,Swimming,22,[4.5' to 5'] shark,M,[4.5' to 5'] shark
1571,2005,USA,Holding onto an inflatable boat,14,[4' to 5'],F,[4' to 5']
1573,2005,USA,Fishing,16,Bull shark,M,Bull shark
1574,2005,USA,Swimming with boogie board,14,1.8 m [6'] bull shark,F,1.8 m [6'] bull shark
1575,2005,VANUATU,Swimming,7,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",F,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
1577,2005,USA,Swimming,49,Invalid,M,Invalid
1578,2005,USA,Swimming,20,"Unknown, but it was reported that a shark tooth was recovered from the wound",M,"Unknown, but it was reported that a shark tooth was recovered from the wound"
1579,2005,SOUTH KOREA,Diving,38,3 m [10'] white shark,F,3 m [10'] white shark
1581,2005,USA,Surfing,17,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",M,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident"
1582,2005,SOUTH AFRICA,Spearfishing (Free diving),22,White shark,M,White shark
1584,2005,USA,Swimming,33,"""small shark""",M,"""small shark"""
1586,2005,SOUTH AFRICA,Surfing,32,Raggedtooth shark,M,Raggedtooth shark
1591,2005,USA,Surfing,47,"Tiger shark, 3 m [10']",M,"Tiger shark, 3 m [10']"
1592,2005,AUSTRALIA,Fishing,25,"Mako shark, 1.5 m [5'] ",M,"Mako shark, 1.5 m [5'] "
1594,2005,AUSTRALIA,Spearfishing,20,2 m [6.75'] copper shark,M,2 m [6.75'] copper shark
1595,2005,AUSTRALIA,Surfing,40,Bronze whaler shark,M,Bronze whaler shark
1596,2005,USA,Wading,70,1.8 m [6'] blacktip shark,F,1.8 m [6'] blacktip shark
1597,2005,USA,Surfing,52,Shark involvement not confirmed,M,Shark involvement not confirmed
1601,2005,SOUTH AFRICA,Surfing,32,4 m [13'] shark,M,4 m [13'] shark
1604,2005,AUSTRALIA,Snorkeling,26,6 m [20'] white shark,M,6 m [20'] white shark
1605,2005,USA,Diving in aquarium display tank,45,"Sandtiger shark, 2.1 m [7'] ",M,"Sandtiger shark, 2.1 m [7'] "
1609,2005,AUSTRALIA,Swimming,18,Bull shark,M,Bull shark
1614,2005,CUBA,Swimming,19,3 m [10'] shark,M,3 m [10'] shark
1617,2005,NEW ZEALAND,Fishing from a kayak,39,White shark,M,White shark
1618,2004,SRI LANKA,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",11,No shark involvement,F,No shark involvement
1619,2004,AUSTRALIA,Scurfing (surfboard being  towed behind a boat),18,4.5 m & 5 m white shark ,M,4.5 m & 5 m white shark 
1620,2004,AUSTRALIA,Spearfishing,38,Bull shark,M,Bull shark
1621,2004,SOUTH AFRICA,Surfing,20,Raggedtooth shark,M,Raggedtooth shark
1622,2004,SOUTH AFRICA,Playing,16,Raggedtooth shark,M,Raggedtooth shark
1623,2004,SOUTH AFRICA,Swimming,77,6 m [20'] white shark,F,6 m [20'] white shark
1624,2004,USA,Surfing,38,5.5 m [18'] white shark,lli,5.5 m [18'] white shark
1627,2004,CUBA,Diving,40,2.5 m [8.25'] bull shark,M,2.5 m [8.25'] bull shark
1629,2004,SOUTH AFRICA,Chumming for white sharks,52,2 m [6.75'] white shark,M,2 m [6.75'] white shark
1630,2004,AUSTRALIA,Surfing,59,"Bronze whaler shark, 2.4 m [8'] ",M,"Bronze whaler shark, 2.4 m [8'] "
1632,2004,USA,Spearfishing,34,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",M,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
1633,2004,SOUTH AFRICA,Surfing,34,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",M,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
1634,2004,REUNION,Body boarding,15,Thought to involve a 2.5 m bull or tiger shark,M,Thought to involve a 2.5 m bull or tiger shark
1638,2004,USA,Surfing,26,White shark,M,White shark
1641,2004,USA,Jumping,17,2.4 m [8'] shark,F,2.4 m [8'] shark
1643,2004,BRAZIL,Bathing,24,"Tiger shark, 1.5 m ",M,"Tiger shark, 1.5 m "
1645,2004,USA,Diving,50,4.9 m to 5.5 m [16' to 18'] white shark,M,4.9 m to 5.5 m [16' to 18'] white shark
1646,2004,USA,Swimming,47,1.2 m [4'] shark,M,1.2 m [4'] shark
1652,2004,USA,Swimming,13,1.8 m [6'] shark,F,1.8 m [6'] shark
1653,2004,USA,Swimming,19,1.2 m to 1.5 m [4' to 5'] shark,F,1.2 m to 1.5 m [4' to 5'] shark
1654,2004,USA,Wading / fishing & carrying a bag of fish,11,Bull shark,M,Bull shark
1656,2004,JAPAN,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,51,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",M,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] "
1657,2004,AUSTRALIA,Surfing,30,"2 sharks, 4.5 m & 3 m ",M,"2 sharks, 4.5 m & 3 m "
1659,2004,USA,Wading,7,4' to 5' shark,M,4' to 5' shark
1660,2004,USA,Surfing,45,"9'2"" white shark",M,"9'2"" white shark"
1663,2004,AUSTRALIA,Body boarding,17,"Bronze whaler shark, 2.5 m [8.25'] ",M,"Bronze whaler shark, 2.5 m [8.25'] "
1664,2004,USA,Swimming,8,1.2 m [4'] shark,M,1.2 m [4'] shark
1665,2004,SOUTH AFRICA,"Swimming, poaching perlemoen",21,White shark,M,White shark
1666,2004,USA,Wading,16,0.9 m to 1.5 m [3' to 5'] shark,M,0.9 m to 1.5 m [3' to 5'] shark
1667,2004,BRAZIL,Swimming,17,Bull shark,M,Bull shark
1668,2004,USA,Surfing,44,2.4 m to 3.7 m [8' to 12'] shark,M,2.4 m to 3.7 m [8' to 12'] shark
1670,2004,USA,Swimming,9,Shark involvement not confirmed,M,Shark involvement not confirmed
1673,2004,BAHAMAS,Free diving & spearfishing,63,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",M,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
1674,2004,USA,Tandem surfing,28,"Mako shark, 1.8 m [6']",M,"Mako shark, 1.8 m [6']"
1680,2004,USA,Surfing,57,Tiger shark,M,Tiger shark
1681,2004,SOUTH AFRICA,Surfing,16,5 m [16.5'] white shark,M,5 m [16.5'] white shark
1682,2004,USA,Surfing,22,Shark involvement prior to death was not confirmed,F,Shark involvement prior to death was not confirmed
1684,2004,USA,Surfing,20,1.2 m [4'] bull shark,M,1.2 m [4'] bull shark
1685,2004,BRAZIL,Body boarding,22,bull shark,M,bull shark
1687,2004,REUNION,Surfing,20,2.5 m shark,M,2.5 m shark
1691,2004,USA,Surfing,51,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",M,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1692,2004,AUSTRALIA,Spearfishing,47,"Bronze whaler shark, 1.5 m [5'] ",M,"Bronze whaler shark, 1.5 m [5'] "
1694,2004,NEW ZEALAND,Surfing,15,2 m [6.75'] sevengill  shark,M,2 m [6.75'] sevengill  shark
1696,2004,AUSTRALIA,Free diving & spearfishing,31,Shark involvement not confirmed,M,Shark involvement not confirmed
1698,2004,AUSTRALIA,Snorkeling,22,"60 cm [23.6""] blind or brown shark",M,"60 cm [23.6""] blind or brown shark"
1699,2004,AUSTRALIA,Scuba diving,46,4 m to 5 m [13' to 16.5'] white shark,M,4 m to 5 m [13' to 16.5'] white shark
1700,2004,URUGUAY,Surfing,21,Possibily a  1.5 to 2 m sandtiger shark,M,Possibily a  1.5 to 2 m sandtiger shark
1703,2004,VENEZUELA,Spearfishing,40,"Bull shark, 132-kg [291-lb] ",M,"Bull shark, 132-kg [291-lb] "
1706,2004,SOUTH AFRICA,Surfing,22,Raggedtooth shark,M,Raggedtooth shark
1711,2003,USA,Swimming,28,Questionable Incident,M,Questionable Incident
1717,2003,SOUTH AFRICA,Spearfishing,21,"Tiger shark, 4 m [13']  ?",M,"Tiger shark, 4 m [13']  ?"
1718,2003,USA,Surfing,35,4' shark,F,4' shark
1719,2003,INDIA,Swimming or surfing,35,Tiger shark?,M,Tiger shark?
1725,2003,USA,Surfing,18,1.2 m to 1.5 m [4' to 5'] shark,M,1.2 m to 1.5 m [4' to 5'] shark
1726,2003,AUSTRALIA,Surfing,22,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",M,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
1727,2003,USA,Surfing,13,"Tiger shark, 14' ",F,"Tiger shark, 14' "
1729,2003,USA,Snorkeling,56,Shark involvement not confirmed,M,Shark involvement not confirmed
1730,2003,USA,Surfing,19,1.2 m [4'] shark,M,1.2 m [4'] shark
1736,2003,USA,Wading near a fishing net,41,"1.2 m [4'] ""grey-colored shark""",F,"1.2 m [4'] ""grey-colored shark"""
1742,2003,USA,Surfing,30,3' shark,M,3' shark
1745,2003,USA,Body boarding,18,6' shark,M,6' shark
1746,2003,USA,"Standing, stepped on shark",15,7' shark,M,7' shark
1747,2003,SOUTH AFRICA,Body boarding,19,White shark,M,White shark
1750,2003,USA,"Swimming, wearing black wetsuit & swim fins",50,4.5 m to 5.5 m [15' to 18'] white shark,F,4.5 m to 5.5 m [15' to 18'] white shark
1751,2003,USA,Swimming,31,Shark involvement not confirmed,M,Shark involvement not confirmed
1752,2003,SOUTH AFRICA,Sitting on surfboard,16,3.5 m [11.5'] white shark,M,3.5 m [11.5'] white shark
1756,2003,BAHAMAS,Spearfishing,58,Unidentified species,M,Unidentified species
1757,2003,USA,"Walking, carrying surfboard & stepped on shark",10,2' shark,M,2' shark
1758,2003,USA,Surfing,21,1.5 m to 1.8 m [5' to 6'] shark,M,1.5 m to 1.8 m [5' to 6'] shark
1759,2003,BAHAMAS,Spearfishing,39,2.1 m  [7'] bull shark,M,2.1 m  [7'] bull shark
1763,2003,USA,Surfing,17,Unidentified species,M,Unidentified species
1764,2003,USA,Surfing,15,106 cm [3.5']  shark,M,106 cm [3.5']  shark
1766,2003,USA,Standing,12,“small brown shark”,F,“small brown shark”
1767,2003,USA,Swimming with pod of dolphins,60,3.7 m to 4.3 m [12' to 14'] shark,M,3.7 m to 4.3 m [12' to 14'] shark
1768,2003,USA,Swimming,51,Unidentified species,M,Unidentified species
1769,2003,USA,Surfing ,33,"""sand shark""",M,"""sand shark"""
1771,2003,USA,Swimming,22,Shark involvement not confirmed,F,Shark involvement not confirmed
1773,2003,USA,Wading,22,3' to 5' shark,M,3' to 5' shark
1774,2003,USA,Swimming,20,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,M,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark
1775,2003,USA,Surfing,34,4' to 5' shark,M,4' to 5' shark
1780,2003,BRAZIL,Surfing,17,Bull shark,M,Bull shark
1782,2003,USA,Surfing,36,Unidentified species,M,Unidentified species
1783,2003,USA,Surfing,17,Unidentified species,M,Unidentified species
1784,2003,USA,Surfing,30,Unidentified species,M,Unidentified species
1785,2003,USA,Surfing,23,0.9 m to 1.2 m [3' to 4'] shark,M,0.9 m to 1.2 m [3' to 4'] shark
1786,2003,USA,Surfing,18,Unidentified species,M,Unidentified species
1787,2003,USA,Jumping,11,A “small” shark,M,A “small” shark
1788,2003,USA,Surfing,12,Unidentified species,M,Unidentified species
1789,2003,USA,Swimming (using a float),20,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",M,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"
1790,2003,VENEZUELA,Surfing,28,"Mako shark, 3 m [10']",M,"Mako shark, 3 m [10']"
1792,2003,USA,Surfing,50,4' to 5' shark,M,4' to 5' shark
1794,2003,NEW ZEALAND,Scuba diving,44,2.5 m [8.25'] white shark,M,2.5 m [8.25'] white shark
1795,2003,AUSTRALIA,Wading,37,"""a small shark""",M,"""a small shark"""
1796,2003,USA,Swimming,54,Species unidentified,M,Species unidentified
1797,2003,AUSTRALIA,Swimming,24,Thought to involve a 2 m [6.75'] grey nurse shark,M,Thought to involve a 2 m [6.75'] grey nurse shark
1798,2003,AUSTRALIA,Swimming,84,Thought to involve a >2 m [6.75'] bull shark,M,Thought to involve a >2 m [6.75'] bull shark
1799,2003,SOUTH AFRICA,Unknown,14,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
1802,2002,AUSTRALIA,Snorkeling,18,Reported to involve a hammerhead shark,F,Reported to involve a hammerhead shark
1803,2002,SOUTH AFRICA,Snorkeling,25,"White shark, 4 m white shark",M,"White shark, 4 m white shark"
1804,2002,AUSTRALIA,Scuba diving,26,"Wobbegong shark, 1m",M,"Wobbegong shark, 1m"
1805,2002,AUSTRALIA,Swimming,11,"Shark involvement not confirmed, injury may be due to a stingray",M,"Shark involvement not confirmed, injury may be due to a stingray"
1806,2002,AUSTRALIA,Swimming,23,Bull shark,M,Bull shark
1809,2002,USA,Body boarding,48,3 m to 4.5 m [10' to 15'] white shark,M,3 m to 4.5 m [10' to 15'] white shark
1810,2002,USA,Swimming,34,2.4 m to 3 m [8' to 10'] grey colored shark,F,2.4 m to 3 m [8' to 10'] grey colored shark
1811,2002,TURKS & CAICOS,Snorkeling,41,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,F,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark 
1812,2002,USA,Surfing,21,6' shark,M,6' shark
1813,2002,USA,Boogie boarding,16,3' to 4' shark,M,3' to 4' shark
1815,2002,USA,Swimming,60,A “small” shark,F,A “small” shark
1816,2002,BRAZIL,Swimming,36,Possibly a bull shark or tiger shark,M,Possibly a bull shark or tiger shark
1818,2002,USA,Surfing,14,Blacktip or spinner shark,M,Blacktip or spinner shark
1819,2002,USA,Surfing,35,3.5' to 4.5' shark,M,3.5' to 4.5' shark
1820,2002,USA,Surfing,18,3.5' to 4' shark,M,3.5' to 4' shark
1821,2002,USA,Surfing,47,4' to 5' shark,M,4' to 5' shark
1823,2002,USA,Fishing from Surfboard,55,1.2 m [4'] blacktip shark,M,1.2 m [4'] blacktip shark
1826,2002,USA,Boogie boarding or Surfing,24,2.4 m [8'] shark,M,2.4 m [8'] shark
1827,2002,USA,Surfing,35,3 m to 3.7 m [10' to 12'] shark,M,3 m to 3.7 m [10' to 12'] shark
1828,2002,BRAZIL,Swimming,19,Bull or tiger shark,M,Bull or tiger shark
1830,2002,SOUTH AFRICA,Surf skiing,47,White shark,M,White shark
1831,2002,USA,Boogie boarding,20,4' to 6' shark,M,4' to 6' shark
1832,2002,USA,"Wading, when he stepped on the shark",36,1' to 2' hammerhead or bonnethed shark,M,1' to 2' hammerhead or bonnethed shark
1833,2002,USA,Surfing,16,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",M,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1835,2002,USA,Surfing,27,0.9 m  to 1.2 m [3' to 4'] shark,M,0.9 m  to 1.2 m [3' to 4'] shark
1836,2002,USA,Surfing,15,"Nurse shark, 1.5 m [5'] ",M,"Nurse shark, 1.5 m [5'] "
1838,2002,UNITED KINGDOM,Diving,30,"Sandtiger shark, 3 m [10'] ",M,"Sandtiger shark, 3 m [10'] "
1839,2002,USA,Standing,14,1.2 m to 1.5 m [4' to 5'] shark,M,1.2 m to 1.5 m [4' to 5'] shark
1840,2002,USA,Surfing,13,1.2 m [4'] blacktip or sandbar shark,M,1.2 m [4'] blacktip or sandbar shark
1841,2002,USA,Swimming,15,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",F,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
1843,2002,USA,Shark Fishing,41,"Mako shark, 400-lb ",M,"Mako shark, 400-lb "
1844,2002,BRAZIL,Surfing,22,Bull or tiger shark,M,Bull or tiger shark
1845,2002,USA,Standing,9,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",F,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark"
1852,2002,USA,Surfing,28,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,M,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand
1853,2002,USA,Surfing,50,  ,M,  
1855,2002,SOUTH AFRICA,Snorkeling (filming the sardine run),50,1.5 to 2.5 m [5' to 8.25'] copper shark,M,1.5 to 2.5 m [5' to 8.25'] copper shark
1856,2002,USA,Surfing,24,3.7 m to 4.3 m [12' to 14'] white shark,M,3.7 m to 4.3 m [12' to 14'] white shark
1857,2002,USA,Floating on a raft,16,1 m  shark,M,1 m  shark
1858,2002,USA,"Fishing, removing the shark from his line",55,3' blacktip shark,M,3' blacktip shark
1862,2002,USA,Fishing,31,2.1 m to 2.4 m [7' to 8'] shark,M,2.1 m to 2.4 m [7' to 8'] shark
1865,2002,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,23,"White shark, 6m [20']",M,"White shark, 6m [20']"
1866,2002,AUSTRALIA,Fishing (Drowned 2-Apr-2002),52,Invalid,M,Invalid
1867,2002,USA,"Surfing, but standing in water alongside board",34,1.2 m [4'] shark,M,1.2 m [4'] shark
1870,2002,BAHAMAS,Standing,43,"Bull shark, 400-lb ",M,"Bull shark, 400-lb "
1871,2002,USA,Wading,41,3'  shark,M,3'  shark
1872,2002,USA,Swimming / Wading,29,0.9 m [3'] shark,M,0.9 m [3'] shark
1873,2002,USA,Body-boarding,17,Tiger shark,M,Tiger shark
1874,2002,USA,Wading,11,  ,F,  
1876,2002,USA,Swimming /  boogie boarding,20,4' shark,M,4' shark
1877,2002,USA,Snorkeling,39,"Nurse shark, 1m ",M,"Nurse shark, 1m "
1878,2002,USA,Surfing,31,"Spinner shark, 3' to 4' ",M,"Spinner shark, 3' to 4' "
1879,2002,NEW CALEDONIA,Spearfishing,44,Shark involvement prior to death unconfired,M,Shark involvement prior to death unconfired
1883,2002,AUSTRALIA,Kayaking,35,C. leucas tooth fragment recovered from kayak,M,C. leucas tooth fragment recovered from kayak
1884,2002,AUSTRALIA,Surfing,20,"Tiger shark, 3 m [10']",M,"Tiger shark, 3 m [10']"
1886,2002,SOUTH AFRICA,Fishing,16,Zambesi shark?,M,Zambesi shark?
1888,2002,SOUTH AFRICA,Surf skiing,26,Unidentified,M,Unidentified
1889,2002,USA,Snorkeling,35,"Tiger shark, 1.8 m [6'] ",M,"Tiger shark, 1.8 m [6'] "
1891,2001,AUSTRALIA,Surfing,49,Bronze whaler shark,M,Bronze whaler shark
1895,2001,AUSTRALIA,Snorkeling,20,Bronze whaler shark?,F,Bronze whaler shark?
1896,2001,MEXICO,Body surfing,26,"Tiger shark, 1.8 m [6']",M,"Tiger shark, 1.8 m [6']"
1898,2001,USA,"Surfing, fell off surfboard & stepped on the shark.",21,4' shark,M,4' shark
