,Year,Country,Activity,Age,Species ,Sex,Species
183,2017,AUSTRALIA,Scuba Diving,55,"Bull shark, 4 m",M,"Bull shark, 4 m"
186,2017,INDONESIA,Surfing,48,"Bull shark, 1 m",M,"Bull shark, 1 m"
189,2017,AUSTRALIA,Wading,20,Shark involvement not confirmed,M,Shark involvement not confirmed
192,2016,SOUTH AFRICA,Surf skiing ,55,"White shark, 4 m",M,"White shark, 4 m"
195,2016,USA,Surfing,19,Shark involvement not confirmed,M,Shark involvement not confirmed
196,2016,AUSTRALIA,Surf fishing,20,"Wobbegong shark, 2m",M,"Wobbegong shark, 2m"
197,2016,AUSTRALIA,Surfing,65,White shark,M,White shark
198,2016,AUSTRALIA,Fishing,73,"Broadnose sevengill shark, 1.5 m",M,"Broadnose sevengill shark, 1.5 m"
199,2016,USA,Floating,58,Tiger shark,F,Tiger shark
203,2016,USA,Surfing,36, 6' to 8' shark,M, 6' to 8' shark
211,2016,AUSTRALIA,Surfing,17,"White shark, 3.5 m",M,"White shark, 3.5 m"
220,2016,USA,Swimming,51,"Tiger shark, 10'",F,"Tiger shark, 10'"
225,2016,USA,Spearfishing,22,"White shark, 8' to 10'",M,"White shark, 8' to 10'"
227,2016,USA,Surfing,25,"Bull shark, 6'",M,"Bull shark, 6'"
229,2016,REUNION,Surfing,20,"Bull shark, 3.5 m",M,"Bull shark, 3.5 m"
232,2016,USA,SUP Foil boarding,21,"Tiger shark, 10' ",M,"Tiger shark, 10' "
233,2016,USA,Surfing,22,Blacktip shark,M,Blacktip shark
234,2016,SPAIN,Swimming,40,Blue shark,M,Blue shark
237,2016,USA,Lobstering,43,"Nurse shark, 4'",M,"Nurse shark, 4'"
242,2016,AUSTRALIA,Fishing,31,"reef shark, 1m",M,"reef shark, 1m"
246,2016,USA,Kite surfing,61,"White shark, 10' to 12'",M,"White shark, 10' to 12'"
249,2016,SPAIN,Wading,10,Angel shark,F,Angel shark
251,2016,USA,Fishing,59,dogfish shark,M,dogfish shark
254,2016,AUSTRALIA,Fishing,34,Tawny nurse shark,M,Tawny nurse shark
257,2016,COLUMBIA,Scuba Diving,59,"Caribbean reef shark, 4.5'",M,"Caribbean reef shark, 4.5'"
258,2016,SOUTH AFRICA,Spearfishing,43,White shark,M,White shark
259,2016,USA,Floating,42,3' to 5' shark,M,3' to 5' shark
262,2016,AUSTRALIA,Spearfishing,19,5' shark,M,5' shark
263,2016,USA,Floating in tube,6,3' to 4' shark,F,3' to 4' shark
264,2016,USA,Standing,19,3' shark,M,3' shark
265,2016,USA,Surfing,27,Said to involve an 8' shark but more likely damage caused by debris,M,Said to involve an 8' shark but more likely damage caused by debris
267,2016,AUSTRALIA,Diving,60,3+ m shark,F,3+ m shark
268,2016,EGYPT,Swimming,23,Mako shark,M,Mako shark
271,2016,AUSTRALIA,Surfing,29,White shark,M,White shark
273,2016,USA,Swimming,13,5' shark,M,5' shark
275,2016,USA,Swimming,22,"Bull shark, 4' to 5'",F,"Bull shark, 4' to 5'"
277,2016,USA,Swimming,48,"Blacktip shark, 4'",M,"Blacktip shark, 4'"
278,2016,USA,Teasing a shark,23,"Nurse shark, 2'",F,"Nurse shark, 2'"
280,2016,NEW ZEALAND,Fishing,39,"Mako shark, 1.5 m [5'] ",M,"Mako shark, 1.5 m [5'] "
281,2016,INDONESIA,Surfing,24,"Bull shark, 6'",M,"Bull shark, 6'"
284,2016,AUSTRALIA,Swimming,12,Wobbegong shark,M,Wobbegong shark
285,2016,FRENCH POLYNESIA,Spearfishing,22,"Grey reef shark, 2 m",M,"Grey reef shark, 2 m"
286,2016,FRENCH POLYNESIA,Spearfishing,26,"Grey reef shark, 2 m",M,"Grey reef shark, 2 m"
287,2016,USA,Spearfishing,26,"Bull shark, 7'",M,"Bull shark, 7'"
288,2016,NEW CALEDONIA,Walking,69,"Tiger shark, 2.5 m",F,"Tiger shark, 2.5 m"
290,2016,USA,Fishing,34,5' to 6' shark,M,5' to 6' shark
